smiles,name
Cc1ccc(C(C)C)cc1O,mol1
C#CCOc1cc(C(C)C)ccc1C,mol2
Cc1ccc(C(C)C)cc1OCc3cc(c2ccccc2)no3,mol3
Cc3ccc(c2cc(COc1cc(C(C)C)ccc1C)on2)cc3,mol4
COc1ccccc1c3cc(COc2cc(C(C)C)ccc2C)on3,mol5
COc3ccc(c2cc(COc1cc(C(C)C)ccc1C)on2)cc3,mol6
Cc1ccc(C(C)C)cc1OCc3cc(c2ccc(Cl)cc2)no3,mol7
Cc1ccc(C(C)C)cc1OCc3cc(c2ccc(N(=O)=O)cc2)no3,mol8
Cc1ccc(C(C)C)cc1OCc3cc(c2ccc(F)cc2)no3,mol9
CC(=O)c2cc(COc1cc(C(C)C)ccc1C)on2,mol10
Cc1ccc(C(C)C)cc1OCc3cc(C(=O)C=Cc2ccccc2)no3,mol11
Cc3ccc(C=CC(=O)c2cc(COc1cc(C(C)C)ccc1C)on2)cc3,mol12
COc1ccccc1C=CC(=O)c3cc(COc2cc(C(C)C)ccc2C)on3,mol13
COc3ccc(C=CC(=O)c2cc(COc1cc(C(C)C)ccc1C)on2)cc3,mol14
Cc1ccc(C(C)C)cc1OCc3cc(C(=O)C=Cc2ccc(Cl)cc2)no3,mol15
Cc1ccc(C(C)C)cc1OCc3cc(C(=O)C=Cc2ccc(N(=O)=O)cc2)no3,mol16
Cc1ccc(C(C)C)cc1OCc3cc(C(=O)C=Cc2ccc(F)cc2)no3,mol17
CC(=O)OC1=CC=CC=C1C(=O)O,aspirin
