ligand_name,cluster_id,cluster_size,rep_pose_idx,mean_internal_dist,mean_dist_to_others,cluster_diameter,pose_indices
aspirin_prepared,1,3,6,1.739,2.643,2.064,"[1, 4, 6]"
aspirin_prepared,2,2,0,1.991,2.671,1.991,"[0, 2]"
aspirin_prepared,3,2,5,1.449,2.203,1.449,"[5, 7]"
aspirin_prepared,4,1,3,0.0,2.275,0.0,[0]
mol1_prepared,2,3,7,1.664,2.292,1.809,"[1, 2, 7]"
mol1_prepared,1,2,0,0.888,2.636,0.888,"[0, 5]"
mol1_prepared,3,2,3,1.759,2.499,1.759,"[3, 6]"
mol1_prepared,4,1,4,0.0,2.502,0.0,[0]
mol2_prepared,1,3,5,1.537,2.638,2.009,"[4, 5, 7]"
mol2_prepared,2,1,0,0.0,2.531,0.0,[0]
mol2_prepared,3,1,1,0.0,2.565,0.0,[0]
mol2_prepared,4,1,2,0.0,2.671,0.0,[0]
mol2_prepared,5,1,3,0.0,3.283,0.0,[0]
mol2_prepared,6,1,6,0.0,2.478,0.0,[0]
mol3_prepared,8,1,0,0.0,3.742,0.0,[0]
mol3_prepared,3,1,1,0.0,3.733,0.0,[0]
mol3_prepared,6,1,2,0.0,3.801,0.0,[0]
mol3_prepared,1,1,3,0.0,4.012,0.0,[0]
mol3_prepared,7,1,4,0.0,3.546,0.0,[0]
mol3_prepared,2,1,5,0.0,4.158,0.0,[0]
mol3_prepared,4,1,6,0.0,3.952,0.0,[0]
mol3_prepared,5,1,7,0.0,4.035,0.0,[0]
mol4_prepared,6,1,0,0.0,3.602,0.0,[0]
mol4_prepared,8,1,1,0.0,4.264,0.0,[0]
mol4_prepared,7,1,2,0.0,3.856,0.0,[0]
mol4_prepared,4,1,3,0.0,3.358,0.0,[0]
mol4_prepared,3,1,4,0.0,3.749,0.0,[0]
mol4_prepared,1,1,5,0.0,4.033,0.0,[0]
mol4_prepared,2,1,6,0.0,4.06,0.0,[0]
mol4_prepared,5,1,7,0.0,3.599,0.0,[0]
