#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
2.9%,10000,20.0,-40496.421,7715.476,-32780.945,302.513,31.193,0.98,0,--
5.7%,20000,40.0,-40621.939,7609.415,-33012.524,298.354,31.131,0.982,1.4e+03,0:40
8.6%,30000,60.0,-40874.967,7619.269,-33255.698,298.741,30.813,0.992,1.41e+03,0:39
11.4%,40000,80.0,-40811.405,7460.787,-33350.618,292.527,30.851,0.991,1.41e+03,0:38
14.3%,50000,100.0,-40624.018,7565.434,-33058.585,296.63,31.211,0.98,1.41e+03,0:36
17.1%,60000,120.0,-40715.05,7617.196,-33097.853,298.66,31.051,0.985,1.41e+03,0:35
20.0%,70000,140.0,-40588.1,7756.313,-32831.787,304.114,30.676,0.997,1.41e+03,0:34
22.9%,80000,160.0,-40714.103,7764.212,-32949.891,304.424,30.96,0.988,1.41e+03,0:33
25.7%,90000,180.0,-40637.01,7825.933,-32811.077,306.844,30.859,0.991,1.41e+03,0:31
28.6%,100000,200.0,-41019.327,7693.188,-33326.139,301.639,31.005,0.986,1.41e+03,0:30
31.4%,110000,220.0,-41144.3,7647.887,-33496.413,299.863,31.141,0.982,1.41e+03,0:29
34.3%,120000,240.0,-40407.915,7768.458,-32639.457,304.59,31.104,0.983,1.41e+03,0:28
37.1%,130000,260.0,-40525.823,7669.919,-32855.904,300.727,30.672,0.997,1.41e+03,0:27
40.0%,140000,280.0,-40808.901,7421.086,-33387.815,290.97,30.637,0.998,1.41e+03,0:25
42.9%,150000,300.0,-40651.355,7778.222,-32873.133,304.973,31.289,0.977,1.41e+03,0:24
45.7%,160000,320.0,-40626.184,7715.988,-32910.196,302.533,31.244,0.979,1.41e+03,0:23
48.6%,170000,340.0,-40744.365,7766.071,-32978.294,304.497,31.596,0.968,1.41e+03,0:22
51.4%,180000,360.0,-40279.626,7569.185,-32710.442,296.777,30.947,0.988,1.41e+03,0:20
54.3%,190000,380.0,-40629.221,7917.818,-32711.402,310.447,30.912,0.989,1.41e+03,0:19
57.1%,200000,400.0,-41031.234,7462.75,-33568.484,292.604,30.713,0.995,1.41e+03,0:18
60.0%,210000,420.0,-40855.493,7598.623,-33256.87,297.931,30.867,0.991,1.41e+03,0:17
62.9%,220000,440.0,-40810.952,7835.862,-32975.089,307.233,31.007,0.986,1.41e+03,0:15
65.7%,230000,460.0,-40632.485,7608.164,-33024.321,298.305,31.04,0.985,1.41e+03,0:14
68.6%,240000,480.0,-40582.579,7867.545,-32715.033,308.475,30.924,0.989,1.41e+03,0:13
71.4%,250000,500.0,-41167.666,7437.285,-33730.381,291.605,30.743,0.995,1.41e+03,0:12
74.3%,260000,520.0,-40692.154,7689.405,-33002.75,301.491,31.232,0.979,1.41e+03,0:11
77.1%,270000,540.0,-40682.19,7753.404,-32928.787,304.0,31.653,0.966,1.41e+03,0:09
80.0%,280000,560.0,-40545.454,7635.877,-32909.576,299.392,30.811,0.992,1.41e+03,0:08
82.9%,290000,580.0,-40869.852,7583.784,-33286.068,297.35,30.565,1.0,1.41e+03,0:07
85.7%,300000,600.0,-40694.057,7707.714,-32986.343,302.209,31.149,0.982,1.41e+03,0:06
88.6%,310000,620.0,-40454.657,7770.848,-32683.809,304.684,31.258,0.978,1.41e+03,0:04
91.4%,320000,640.0,-40853.605,7721.447,-33132.159,302.747,31.093,0.983,1.41e+03,0:03
94.3%,330000,660.0,-40733.203,7632.081,-33101.122,299.243,31.229,0.979,1.4e+03,0:02
97.1%,340000,680.0,-40927.435,7752.012,-33175.423,303.945,30.616,0.999,1.4e+03,0:01
100.0%,350000,700.0,-40400.246,7836.101,-32564.145,307.242,31.447,0.972,1.4e+03,0:00
