#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
2.0%,10000,20.0,-51162.023,512.505,-50649.518,20.095,31.111,0.983,0,--
4.0%,20000,40.0,-50803.214,1033.997,-49769.217,40.542,31.111,0.983,2.02e+03,0:41
6.0%,30000,60.0,-50471.193,1493.784,-48977.409,58.569,31.111,0.983,1.97e+03,0:41
8.0%,40000,80.0,-50053.876,2046.828,-48007.048,80.253,31.111,0.983,1.93e+03,0:41
10.0%,50000,100.0,-49822.083,2494.498,-47327.585,97.806,31.111,0.983,1.9e+03,0:40
12.0%,60000,120.0,-49512.683,2854.912,-46657.77,111.937,31.111,0.983,1.87e+03,0:40
14.0%,70000,140.0,-49622.72,3028.172,-46594.547,118.73,31.111,0.983,1.85e+03,0:40
16.0%,80000,160.0,-49248.521,3279.352,-45969.169,128.579,31.111,0.983,1.84e+03,0:39
18.0%,90000,180.0,-49158.193,3597.838,-45560.355,141.066,31.111,0.983,1.83e+03,0:38
20.0%,100000,200.0,-48765.862,3810.749,-44955.113,149.414,31.111,0.983,1.81e+03,0:38
22.0%,110000,220.0,-48430.257,3961.392,-44468.865,155.321,31.111,0.983,1.8e+03,0:37
24.0%,120000,240.0,-48343.969,4321.648,-44022.321,169.446,31.111,0.983,1.79e+03,0:36
26.0%,130000,260.0,-47794.489,4487.886,-43306.603,175.964,31.111,0.983,1.78e+03,0:35
28.0%,140000,280.0,-47495.33,4837.307,-42658.023,189.664,31.111,0.983,1.78e+03,0:35
30.0%,150000,300.0,-46736.16,4977.701,-41758.458,195.169,31.111,0.983,1.77e+03,0:34
32.0%,160000,320.0,-46169.898,5339.869,-40830.03,209.369,31.111,0.983,1.76e+03,0:33
34.0%,170000,340.0,-45452.913,5688.084,-39764.828,223.022,31.111,0.983,1.75e+03,0:32
36.0%,180000,360.0,-44640.431,5783.303,-38857.128,226.755,31.111,0.983,1.74e+03,0:31
38.0%,190000,380.0,-44065.087,6203.599,-37861.488,243.234,31.111,0.983,1.74e+03,0:30
40.0%,200000,400.0,-43076.812,6416.761,-36660.051,251.592,31.111,0.983,1.73e+03,0:29
42.0%,210000,420.0,-42951.173,6435.822,-36515.351,252.34,31.111,0.983,1.73e+03,0:29
44.0%,220000,440.0,-42071.276,6824.094,-35247.182,267.563,31.111,0.983,1.72e+03,0:28
46.0%,230000,460.0,-41489.159,6964.413,-34524.746,273.065,31.111,0.983,1.71e+03,0:27
48.0%,240000,480.0,-41021.587,7305.893,-33715.695,286.454,31.111,0.983,1.71e+03,0:26
50.0%,250000,500.0,-41026.064,7737.86,-33288.204,303.391,31.111,0.983,1.7e+03,0:25
52.0%,260000,520.0,-40776.695,7560.132,-33216.562,296.422,31.111,0.983,1.7e+03,0:24
54.0%,270000,540.0,-40821.515,7660.797,-33160.718,300.369,31.111,0.983,1.69e+03,0:23
56.0%,280000,560.0,-40374.659,7789.569,-32585.09,305.418,31.111,0.983,1.69e+03,0:22
58.0%,290000,580.0,-40496.517,7510.07,-32986.447,294.459,31.111,0.983,1.68e+03,0:21
60.0%,300000,600.0,-40598.413,7915.18,-32683.232,310.343,31.111,0.983,1.68e+03,0:20
62.0%,310000,620.0,-40444.956,7686.347,-32758.609,301.371,31.111,0.983,1.67e+03,0:19
64.0%,320000,640.0,-40474.474,7907.738,-32566.736,310.051,31.111,0.983,1.67e+03,0:18
66.0%,330000,660.0,-40673.636,7712.452,-32961.184,302.394,31.111,0.983,1.67e+03,0:17
68.0%,340000,680.0,-40737.064,7613.189,-33123.875,298.502,31.111,0.983,1.67e+03,0:16
70.0%,350000,700.0,-40703.233,7706.394,-32996.839,302.157,31.111,0.983,1.66e+03,0:15
72.0%,360000,720.0,-40440.828,7669.591,-32771.237,300.714,31.111,0.983,1.66e+03,0:14
74.0%,370000,740.0,-40699.251,7688.19,-33011.061,301.443,31.111,0.983,1.66e+03,0:13
76.0%,380000,760.0,-40755.478,7759.839,-32995.639,304.252,31.111,0.983,1.66e+03,0:12
78.0%,390000,780.0,-40763.718,7607.471,-33156.247,298.278,31.111,0.983,1.65e+03,0:11
80.0%,400000,800.0,-40681.045,7745.496,-32935.548,303.69,31.111,0.983,1.65e+03,0:10
82.0%,410000,820.0,-40508.36,7769.107,-32739.253,304.616,31.111,0.983,1.65e+03,0:09
84.0%,420000,840.0,-40797.055,7628.629,-33168.426,299.108,31.111,0.983,1.65e+03,0:08
86.0%,430000,860.0,-40972.599,7716.643,-33255.956,302.559,31.111,0.983,1.65e+03,0:07
88.0%,440000,880.0,-40495.432,7592.161,-32903.271,297.678,31.111,0.983,1.64e+03,0:06
90.0%,450000,900.0,-40510.081,7581.947,-32928.134,297.277,31.111,0.983,1.64e+03,0:05
92.0%,460000,920.0,-40752.233,7895.194,-32857.039,309.559,31.111,0.983,1.64e+03,0:04
94.0%,470000,940.0,-40872.019,7824.334,-33047.684,306.781,31.111,0.983,1.64e+03,0:03
96.0%,480000,960.0,-40946.155,7452.161,-33493.994,292.189,31.111,0.983,1.64e+03,0:02
98.0%,490000,980.0,-40471.588,7377.219,-33094.369,289.25,31.111,0.983,1.64e+03,0:01
100.0%,500000,1000.0,-40743.559,7709.767,-33033.792,302.289,31.111,0.983,1.64e+03,0:00
