#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
1.0%,5000,10.0,-40855.843,7628.106,-33227.737,299.087,31.253,0.978,0,--
2.0%,10000,20.0,-40625.266,7759.744,-32865.523,304.249,31.074,0.984,1.43e+03,0:59
3.0%,15000,30.0,-41117.491,7557.041,-33560.45,296.301,30.732,0.995,1.42e+03,0:59
4.0%,20000,40.0,-40642.495,7608.123,-33034.372,298.304,30.991,0.987,1.42e+03,0:58
5.0%,25000,50.0,-40875.319,7662.189,-33213.13,300.424,30.415,1.005,1.42e+03,0:57
6.0%,30000,60.0,-40694.272,7629.044,-33065.228,299.124,30.686,0.996,1.42e+03,0:57
7.0%,35000,70.0,-40755.435,7508.768,-33246.667,294.408,31.292,0.977,1.42e+03,0:56
8.0%,40000,80.0,-40985.534,7654.217,-33331.317,300.111,30.973,0.987,1.42e+03,0:55
9.0%,45000,90.0,-40813.498,7802.233,-33011.265,305.915,31.201,0.98,1.42e+03,0:55
10.0%,50000,100.0,-40861.697,7884.448,-32977.248,309.138,31.165,0.981,1.42e+03,0:54
11.0%,55000,110.0,-40776.263,7542.302,-33233.961,295.723,30.875,0.99,1.42e+03,0:54
12.0%,60000,120.0,-40737.741,7813.384,-32924.357,306.352,31.031,0.985,1.42e+03,0:53
13.0%,65000,130.0,-40824.579,7719.761,-33104.818,302.681,31.293,0.977,1.42e+03,0:52
14.0%,70000,140.0,-40446.181,7908.838,-32537.343,310.094,31.648,0.966,1.42e+03,0:52
15.0%,75000,150.0,-40682.762,7715.798,-32966.965,302.526,30.984,0.987,1.42e+03,0:51
16.0%,80000,160.0,-40657.951,7663.412,-32994.539,300.472,31.154,0.981,1.42e+03,0:51
17.0%,85000,170.0,-40539.259,7561.171,-32978.088,296.463,31.333,0.976,1.42e+03,0:50
18.0%,90000,180.0,-40736.424,7777.184,-32959.239,304.932,31.428,0.973,1.42e+03,0:49
19.0%,95000,190.0,-41117.693,7633.404,-33484.289,299.295,30.94,0.988,1.42e+03,0:49
20.0%,100000,200.0,-40741.999,7631.135,-33110.864,299.206,31.13,0.982,1.42e+03,0:48
21.0%,105000,210.0,-40478.468,8035.388,-32443.08,315.056,31.313,0.976,1.42e+03,0:48
22.0%,110000,220.0,-40959.079,7753.975,-33205.104,304.022,31.201,0.98,1.42e+03,0:47
23.0%,115000,230.0,-40176.125,7619.044,-32557.08,298.732,31.535,0.97,1.42e+03,0:46
24.0%,120000,240.0,-40713.51,7796.612,-32916.898,305.694,30.653,0.997,1.42e+03,0:46
25.0%,125000,250.0,-40603.745,7791.479,-32812.266,305.493,30.853,0.991,1.42e+03,0:45
26.0%,130000,260.0,-40957.926,7561.985,-33395.941,296.495,30.677,0.997,1.42e+03,0:45
27.0%,135000,270.0,-40504.362,7600.304,-32904.058,297.997,31.693,0.965,1.42e+03,0:44
28.0%,140000,280.0,-40827.664,7710.772,-33116.892,302.329,30.914,0.989,1.42e+03,0:43
29.0%,145000,290.0,-40865.309,7731.909,-33133.4,303.157,31.337,0.976,1.42e+03,0:43
30.0%,150000,300.0,-40897.838,7546.351,-33351.487,295.882,31.33,0.976,1.42e+03,0:42
31.0%,155000,310.0,-40688.74,7308.982,-33379.758,286.575,30.992,0.987,1.42e+03,0:42
