#Frame      Pop:0    Pop:1    Pop:2    Pop:3    Pop:4
       1    0.000    0.000    1.000    0.000    0.000
       2    0.000    0.000    1.000    0.000    0.000
       3    0.000    0.000    1.000    0.000    0.000
       4    0.000    0.000    1.000    0.000    0.000
       5    0.000    0.000    1.000    0.000    0.000
       6    0.000    0.000    1.000    0.000    0.000
       7    0.000    0.000    1.000    0.000    0.000
       8    0.000    0.000    1.000    0.000    0.000
       9    0.000    0.000    1.000    0.000    0.000
      10    0.000    0.000    1.000    0.000    0.000
      11    0.000    0.000    1.000    0.000    0.000
      12    0.000    0.000    1.000    0.000    0.000
      13    0.000    0.000    1.000    0.000    0.000
      14    0.000    0.000    1.000    0.000    0.000
      15    0.000    0.000    1.000    0.000    0.000
      16    0.000    0.000    1.000    0.000    0.000
      17    0.000    0.000    1.000    0.000    0.000
      18    0.000    0.000    1.000    0.000    0.000
      19    0.000    0.000    1.000    0.000    0.000
      20    0.000    0.000    1.000    0.000    0.000
      21    0.000    0.000    1.000    0.000    0.000
      22    0.000    0.000    1.000    0.000    0.000
      23    0.000    0.000    1.000    0.000    0.000
      24    0.000    0.000    1.000    0.000    0.000
      25    0.000    0.000    1.000    0.000    0.000
      26    0.000    0.000    1.000    0.000    0.000
      27    0.000    0.000    1.000    0.000    0.000
      28    0.000    0.000    1.000    0.000    0.000
      29    0.000    0.000    1.000    0.000    0.000
      30    0.000    0.000    1.000    0.000    0.000
      31    0.000    0.000    1.000    0.000    0.000
      32    0.000    0.000    1.000    0.000    0.000
      33    0.000    0.000    1.000    0.000    0.000
      34    0.000    0.000    1.000    0.000    0.000
      35    0.000    0.000    1.000    0.000    0.000
      36    0.000    0.000    1.000    0.000    0.000
      37    0.000    0.000    1.000    0.000    0.000
      38    0.000    0.000    1.000    0.000    0.000
      39    0.000    0.000    1.000    0.000    0.000
      40    0.000    0.000    1.000    0.000    0.000
      41    0.000    0.000    1.000    0.000    0.000
      42    0.000    0.000    1.000    0.000    0.000
      43    0.000    0.000    1.000    0.000    0.000
      44    0.000    0.000    1.000    0.000    0.000
      45    0.000    0.000    1.000    0.000    0.000
      46    0.000    0.000    1.000    0.000    0.000
      47    0.000    0.000    1.000    0.000    0.000
      48    0.000    0.000    1.000    0.000    0.000
      49    0.000    0.000    1.000    0.000    0.000
      50    0.000    0.000    1.000    0.000    0.000
      51    0.000    0.000    1.000    0.000    0.000
      52    0.000    0.000    1.000    0.000    0.000
      53    0.000    0.000    1.000    0.000    0.000
      54    0.000    0.000    1.000    0.000    0.000
      55    0.000    0.000    1.000    0.000    0.000
      56    0.000    0.000    1.000    0.000    0.000
      57    0.000    0.000    1.000    0.000    0.000
      58    0.000    0.000    1.000    0.000    0.000
      59    0.000    0.000    1.000    0.000    0.000
      60    0.000    0.000    1.000    0.000    0.000
      61    0.000    0.000    1.000    0.000    0.000
      62    0.000    0.000    1.000    0.000    0.000
      63    0.000    0.000    1.000    0.000    0.000
      64    0.000    0.000    1.000    0.000    0.000
      65    0.000    0.000    1.000    0.000    0.000
      66    0.000    0.000    1.000    0.000    0.000
      67    0.000    0.015    0.985    0.000    0.000
      68    0.000    0.015    0.985    0.000    0.000
      69    0.000    0.014    0.986    0.000    0.000
      70    0.000    0.014    0.986    0.000    0.000
      71    0.000    0.014    0.986    0.000    0.000
      72    0.000    0.014    0.986    0.000    0.000
      73    0.000    0.014    0.986    0.000    0.000
      74    0.000    0.014    0.986    0.000    0.000
      75    0.000    0.013    0.987    0.000    0.000
      76    0.000    0.026    0.974    0.000    0.000
      77    0.000    0.039    0.961    0.000    0.000
      78    0.000    0.051    0.949    0.000    0.000
      79    0.000    0.051    0.949    0.000    0.000
      80    0.000    0.050    0.950    0.000    0.000
      81    0.000    0.049    0.951    0.000    0.000
      82    0.000    0.049    0.951    0.000    0.000
      83    0.000    0.048    0.952    0.000    0.000
      84    0.000    0.048    0.952    0.000    0.000
      85    0.000    0.047    0.953    0.000    0.000
      86    0.000    0.047    0.953    0.000    0.000
      87    0.000    0.046    0.954    0.000    0.000
      88    0.000    0.045    0.955    0.000    0.000
      89    0.000    0.045    0.955    0.000    0.000
      90    0.000    0.044    0.956    0.000    0.000
      91    0.000    0.044    0.956    0.000    0.000
      92    0.000    0.043    0.957    0.000    0.000
      93    0.000    0.043    0.957    0.000    0.000
      94    0.000    0.043    0.957    0.000    0.000
      95    0.000    0.042    0.958    0.000    0.000
      96    0.000    0.042    0.958    0.000    0.000
      97    0.000    0.041    0.959    0.000    0.000
      98    0.000    0.041    0.959    0.000    0.000
      99    0.000    0.040    0.960    0.000    0.000
     100    0.000    0.040    0.960    0.000    0.000
     101    0.000    0.040    0.960    0.000    0.000
     102    0.000    0.039    0.961    0.000    0.000
     103    0.000    0.039    0.961    0.000    0.000
     104    0.000    0.038    0.962    0.000    0.000
     105    0.000    0.038    0.962    0.000    0.000
     106    0.000    0.038    0.962    0.000    0.000
     107    0.000    0.037    0.963    0.000    0.000
     108    0.000    0.046    0.954    0.000    0.000
     109    0.000    0.046    0.954    0.000    0.000
     110    0.000    0.045    0.955    0.000    0.000
     111    0.000    0.054    0.946    0.000    0.000
     112    0.000    0.054    0.946    0.000    0.000
     113    0.009    0.053    0.938    0.000    0.000
     114    0.018    0.053    0.930    0.000    0.000
     115    0.017    0.052    0.930    0.000    0.000
     116    0.017    0.052    0.931    0.000    0.000
     117    0.017    0.060    0.923    0.000    0.000
     118    0.017    0.068    0.915    0.000    0.000
     119    0.017    0.076    0.908    0.000    0.000
     120    0.017    0.083    0.900    0.000    0.000
     121    0.017    0.083    0.901    0.000    0.000
     122    0.016    0.090    0.893    0.000    0.000
     123    0.016    0.098    0.886    0.000    0.000
     124    0.016    0.105    0.879    0.000    0.000
     125    0.024    0.104    0.872    0.000    0.000
     126    0.024    0.103    0.873    0.000    0.000
     127    0.024    0.102    0.874    0.000    0.000
     128    0.023    0.109    0.867    0.000    0.000
     129    0.023    0.109    0.868    0.000    0.000
     130    0.023    0.115    0.862    0.000    0.000
     131    0.023    0.115    0.863    0.000    0.000
     132    0.023    0.114    0.864    0.000    0.000
     133    0.023    0.120    0.857    0.000    0.000
     134    0.022    0.127    0.851    0.000    0.000
     135    0.022    0.133    0.844    0.000    0.000
     136    0.022    0.140    0.838    0.000    0.000
     137    0.022    0.146    0.832    0.000    0.000
     138    0.022    0.152    0.826    0.000    0.000
     139    0.022    0.158    0.820    0.000    0.000
     140    0.021    0.164    0.814    0.000    0.000
     141    0.021    0.170    0.809    0.000    0.000
     142    0.021    0.176    0.803    0.000    0.000
     143    0.021    0.182    0.797    0.000    0.000
     144    0.021    0.188    0.792    0.000    0.000
     145    0.021    0.193    0.786    0.000    0.000
     146    0.021    0.199    0.781    0.000    0.000
     147    0.020    0.204    0.776    0.000    0.000
     148    0.020    0.209    0.770    0.000    0.000
     149    0.020    0.215    0.765    0.000    0.000
     150    0.020    0.220    0.760    0.000    0.000
     151    0.020    0.225    0.755    0.000    0.000
     152    0.020    0.230    0.750    0.000    0.000
     153    0.020    0.235    0.745    0.000    0.000
     154    0.019    0.240    0.740    0.000    0.000
     155    0.019    0.245    0.735    0.000    0.000
     156    0.019    0.250    0.731    0.000    0.000
     157    0.019    0.255    0.726    0.000    0.000
     158    0.019    0.259    0.722    0.000    0.000
     159    0.019    0.264    0.717    0.000    0.000
     160    0.019    0.269    0.712    0.000    0.000
     161    0.019    0.273    0.708    0.000    0.000
     162    0.019    0.278    0.704    0.000    0.000
     163    0.018    0.282    0.699    0.000    0.000
     164    0.018    0.287    0.695    0.000    0.000
     165    0.018    0.291    0.691    0.000    0.000
     166    0.018    0.295    0.687    0.000    0.000
     167    0.018    0.299    0.683    0.000    0.000
     168    0.018    0.304    0.679    0.000    0.000
     169    0.018    0.308    0.675    0.000    0.000
     170    0.018    0.312    0.671    0.000    0.000
     171    0.018    0.316    0.667    0.000    0.000
     172    0.017    0.320    0.663    0.000    0.000
     173    0.017    0.324    0.659    0.000    0.000
     174    0.017    0.328    0.655    0.000    0.000
     175    0.017    0.331    0.651    0.000    0.000
     176    0.017    0.335    0.648    0.000    0.000
     177    0.017    0.339    0.644    0.000    0.000
     178    0.017    0.343    0.640    0.000    0.000
     179    0.017    0.346    0.637    0.000    0.000
     180    0.017    0.350    0.633    0.000    0.000
     181    0.017    0.354    0.630    0.000    0.000
     182    0.016    0.357    0.626    0.000    0.000
     183    0.016    0.361    0.623    0.000    0.000
     184    0.016    0.364    0.620    0.000    0.000
     185    0.016    0.368    0.616    0.000    0.000
     186    0.016    0.371    0.613    0.000    0.000
     187    0.016    0.374    0.610    0.000    0.000
     188    0.016    0.378    0.606    0.000    0.000
     189    0.016    0.381    0.603    0.000    0.000
     190    0.016    0.384    0.600    0.000    0.000
     191    0.016    0.387    0.597    0.000    0.000
     192    0.016    0.391    0.594    0.000    0.000
     193    0.016    0.394    0.591    0.000    0.000
     194    0.015    0.397    0.588    0.000    0.000
     195    0.015    0.400    0.585    0.000    0.000
     196    0.015    0.403    0.582    0.000    0.000
     197    0.015    0.406    0.579    0.000    0.000
     198    0.015    0.409    0.576    0.000    0.000
     199    0.015    0.412    0.573    0.000    0.000
     200    0.015    0.415    0.570    0.000    0.000
     201    0.015    0.418    0.567    0.000    0.000
     202    0.015    0.421    0.564    0.000    0.000
     203    0.015    0.424    0.562    0.000    0.000
     204    0.015    0.426    0.559    0.000    0.000
     205    0.015    0.429    0.556    0.000    0.000
     206    0.015    0.432    0.553    0.000    0.000
     207    0.014    0.435    0.551    0.000    0.000
     208    0.014    0.438    0.548    0.000    0.000
     209    0.014    0.440    0.545    0.000    0.000
     210    0.014    0.443    0.543    0.000    0.000
     211    0.014    0.445    0.540    0.000    0.000
     212    0.014    0.448    0.538    0.000    0.000
     213    0.014    0.451    0.535    0.000    0.000
     214    0.014    0.453    0.533    0.000    0.000
     215    0.014    0.456    0.530    0.000    0.000
     216    0.014    0.458    0.528    0.000    0.000
     217    0.014    0.461    0.525    0.000    0.000
     218    0.014    0.463    0.523    0.000    0.000
     219    0.014    0.466    0.521    0.000    0.000
     220    0.014    0.468    0.518    0.000    0.000
     221    0.014    0.471    0.516    0.000    0.000
     222    0.014    0.473    0.514    0.000    0.000
     223    0.013    0.475    0.511    0.000    0.000
     224    0.013    0.478    0.509    0.000    0.000
     225    0.013    0.480    0.507    0.000    0.000
     226    0.013    0.482    0.504    0.000    0.000
     227    0.013    0.485    0.502    0.000    0.000
     228    0.013    0.487    0.500    0.000    0.000
     229    0.013    0.489    0.498    0.000    0.000
     230    0.013    0.491    0.496    0.000    0.000
     231    0.013    0.494    0.494    0.000    0.000
     232    0.013    0.496    0.491    0.000    0.000
     233    0.013    0.498    0.489    0.000    0.000
     234    0.013    0.500    0.487    0.000    0.000
     235    0.013    0.502    0.485    0.000    0.000
     236    0.013    0.504    0.483    0.000    0.000
     237    0.013    0.506    0.481    0.000    0.000
     238    0.013    0.508    0.479    0.000    0.000
     239    0.013    0.510    0.477    0.000    0.000
     240    0.013    0.512    0.475    0.000    0.000
     241    0.012    0.515    0.473    0.000    0.000
     242    0.012    0.517    0.471    0.000    0.000
     243    0.012    0.519    0.469    0.000    0.000
     244    0.012    0.520    0.467    0.000    0.000
     245    0.012    0.522    0.465    0.000    0.000
     246    0.012    0.524    0.463    0.000    0.000
     247    0.012    0.526    0.462    0.000    0.000
     248    0.012    0.528    0.460    0.000    0.000
     249    0.012    0.530    0.458    0.000    0.000
     250    0.012    0.532    0.456    0.000    0.000
     251    0.012    0.534    0.454    0.000    0.000
     252    0.012    0.536    0.452    0.000    0.000
     253    0.012    0.538    0.451    0.000    0.000
     254    0.012    0.539    0.449    0.000    0.000
     255    0.012    0.541    0.447    0.000    0.000
     256    0.012    0.543    0.445    0.000    0.000
     257    0.012    0.545    0.444    0.000    0.000
     258    0.012    0.547    0.442    0.000    0.000
     259    0.012    0.548    0.440    0.000    0.000
     260    0.012    0.550    0.438    0.000    0.000
     261    0.011    0.552    0.437    0.000    0.000
     262    0.011    0.553    0.435    0.000    0.000
     263    0.011    0.555    0.433    0.000    0.000
     264    0.011    0.557    0.432    0.000    0.000
     265    0.011    0.558    0.430    0.000    0.000
     266    0.011    0.560    0.429    0.000    0.000
     267    0.011    0.562    0.427    0.000    0.000
     268    0.011    0.563    0.425    0.000    0.000
     269    0.011    0.565    0.424    0.000    0.000
     270    0.011    0.567    0.422    0.000    0.000
     271    0.011    0.568    0.421    0.000    0.000
     272    0.011    0.570    0.419    0.000    0.000
     273    0.011    0.571    0.418    0.000    0.000
     274    0.011    0.573    0.416    0.000    0.000
     275    0.011    0.575    0.415    0.000    0.000
     276    0.011    0.576    0.413    0.000    0.000
     277    0.011    0.578    0.412    0.000    0.000
     278    0.011    0.579    0.410    0.000    0.000
     279    0.011    0.581    0.409    0.000    0.000
     280    0.011    0.582    0.407    0.000    0.000
     281    0.011    0.584    0.406    0.000    0.000
     282    0.011    0.585    0.404    0.000    0.000
     283    0.011    0.587    0.403    0.000    0.000
     284    0.011    0.588    0.401    0.000    0.000
