#Frame      Mode1    Mode2    Mode3    Mode4    Mode5    Mode6    Mode7    Mode8    Mode9   Mode10
       1    6.654   -4.579   11.126   -3.847   -9.140    1.714    1.785    4.695    3.214   -0.324
       2   12.518   -5.080    8.822    0.262   -9.967    9.568    0.405    1.960   -0.803    1.917
       3   10.211   -5.497    8.061   -1.398   -8.492   -1.029    0.177   -1.836   -1.957    3.730
       4   10.426   -2.821    6.311   -4.708   -8.297    7.523   -2.981    1.360   -0.301    0.974
       5   10.386   -6.216   11.887    0.998   -9.321    2.268   -1.636    1.299   -1.594   -1.936
       6    7.206   -4.275   11.310   -2.728   -8.155    2.155   -0.068    4.008    0.641    0.977
       7   12.407   -0.533   17.883   -2.176   -9.473    7.871    1.360    6.352   -0.787    0.093
       8    7.339   -0.802    9.533   -6.868   -5.488    7.265    0.518    4.014    2.325   -0.396
       9    9.122   -0.726   14.385   -4.855   -8.964    3.110    2.798    0.342   -2.447   -1.022
      10    9.975    1.112   12.786   -1.696  -11.933    4.514    4.284    1.501   -5.709   -2.401
      11   15.275   -1.216   14.872    4.718   -8.616    5.205    1.824    4.538    0.039    1.202
      12   10.951    3.777   13.457   -5.035   -6.887    9.527   -0.049    2.742   -1.576   -1.365
      13   11.186   -5.407   13.121   -0.326   -6.241    5.111    2.093    2.432   -2.591    1.640
      14    7.685   -1.139   15.063   -8.223   -8.272    5.545    1.674    3.884    1.497    0.873
      15    6.500   -3.534   10.499   -5.869   -9.371    5.415   -1.023    1.961    2.361   -0.119
      16    8.714   -1.010   10.723   -6.288   -8.877    1.012   -0.453    3.715    2.219   -2.500
      17    6.839   -1.608   11.985   -6.149   -3.326    1.852   -5.374    0.036    3.016   -0.709
      18   10.044   -4.924    9.195    1.596   -9.089    1.914    3.952    0.779    2.629    0.440
      19    7.559    1.235   13.561   -3.619  -11.705    3.426    0.227    1.063   -0.813    1.483
      20   10.284   -0.480   15.720    0.196  -11.781    3.356   -0.170    2.750    3.733    0.916
      21    8.027   -3.394    9.329   -3.392  -11.861    5.510   -2.297    1.980    2.758   -1.486
      22    7.734   -0.537    8.234   -7.972   -7.940    4.163    1.408    0.364    3.238    0.945
      23    9.336   -4.729    8.806   -1.281  -11.110    2.282   -0.055    3.916    3.953    0.320
      24    5.972   -7.563    8.889   -4.168   -5.669    0.983   -0.575    0.053    4.897    1.430
      25    7.792   -9.620    6.721   -2.959   -7.014   -0.785    3.940    0.119    3.903   -0.875
      26    7.708  -12.039    2.523    0.902   -6.937    3.142    1.630    3.359    3.865   -1.049
      27    7.263  -19.376    2.290    1.017  -13.613   -2.403   -1.021   -3.689    0.045   -1.127
      28    9.277  -21.397   -1.159    1.198  -11.865    5.593   -2.012   -2.115   -2.589    0.512
      29    7.666  -22.092   -1.930    1.740  -12.453   -1.941   -3.815   -8.636   -1.285   -1.521
      30    7.136  -13.774   -1.096   -0.303  -11.082    4.420  -11.502    4.099    1.992   -2.102
      31    6.137  -18.606   -4.658   -0.839   -6.245    0.585   -7.143   -2.347    3.659   -4.152
      32    9.258  -17.200    3.059    2.634  -12.787    1.294   -8.216   -0.626    1.282    0.847
      33    7.151  -16.620   -0.999   -7.552   -9.325    9.766   -7.717   -7.364    3.190    1.000
      34    9.431  -20.853    4.471    5.797  -16.138    2.679   -5.440   -0.030   -1.634   -0.796
      35   10.398  -15.953    3.642    0.246  -14.997    4.586   -7.523    0.602    4.821    0.880
      36   11.866  -14.170    1.246   -3.149  -11.663    7.024   -4.281   -3.070    1.224   -0.219
      37   11.204  -15.123    5.901    0.620  -14.326    6.669   -8.280    2.139    0.881   -3.006
      38   13.109   -9.935    5.708   -0.603  -14.619    9.521   -4.335   -5.684   -1.400    2.285
      39    4.223  -14.008   -4.864   -5.401  -10.451    4.041   -4.204   -3.747    1.184    0.856
      40    6.674  -17.781   -3.733   -1.644  -14.770    1.235   -4.098    0.111   -0.895   -6.990
      41   11.866  -19.071    1.354    1.873  -10.288   -1.595   -4.397   -5.564   -2.744   -2.182
      42    7.437  -20.784   -4.776    1.462   -9.701   -5.325   -3.066   -5.778   -1.927   -3.815
      43    7.177  -11.543    2.224   -5.808  -13.012    7.638   -6.784   -2.081   -4.381   -3.209
      44    5.466  -17.839   -2.540   -3.095  -12.096    6.384   -3.833   -2.043   -4.192   -0.229
      45   11.703  -10.920    5.975   -1.609  -11.577    2.701    1.851   -1.189   -6.014   -1.250
      46    5.274  -11.050    3.743   -4.543  -12.397    1.853   -4.204    0.297   -9.115   -2.821
      47    8.834  -11.322    4.381   -3.625  -11.795    2.227   -2.899   -4.005   -7.697   -0.473
      48    8.855  -11.745    5.917   -1.041  -11.988   -1.101    0.194   -2.301   -3.558    1.108
      49   12.557  -14.439    3.780    4.665  -12.972   -3.463    2.462   -4.183   -3.474    1.400
      50   13.653   -9.574    1.836    0.277   -9.270    4.892   -6.309   -0.343    0.996   -3.883
      51   10.807   -5.491    7.339   -4.429   -8.562    4.546   -8.291    1.375    2.312    1.077
      52   17.809   -1.087   12.600   -1.523   -7.138    1.988   -3.565    6.658    3.387    1.588
      53   14.341   -7.469    7.794    2.131   -4.735    1.568   -6.357    2.545   -3.939   -0.775
      54   14.870   -7.181   11.601    1.878   -6.355   -2.119   -2.840    5.885    0.283   -3.664
      55   11.845   -5.841    6.341   -3.143   -5.411    5.360    2.615    5.324   -1.890    2.038
      56    7.788   -0.674   11.018   -8.744   -5.874    3.097   -3.740    7.478   -0.718    0.469
      57    8.222   -3.046    0.570   -8.298   -1.374    0.692    0.175    2.692    4.451    0.390
      58    5.600   -1.262    2.475  -10.906   -6.137    6.546   -2.999    1.330    1.128   -0.394
      59   10.720   -3.899    4.811   -7.510   -4.561    3.666   -8.781   -4.034    3.372    2.917
