GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-1560.2215,-14005.4844,-1817.7008,67.46858712,-15565.705899999999,-1750.2322128800001,-17315.938112879998
1,-1535.4844,-13906.8517,-1837.4434,69.64781616,-15442.336099999999,-1767.79558384,-17210.131683839998
2,-1576.5666,-13884.6305,-1869.1656,66.22503696,-15461.1971,-1802.9405630400001,-17264.137663039997
3,-1509.3896,-13850.4337,-1944.619,72.00901008,-15359.8233,-1872.6099899199999,-17232.433289919998
4,-1543.1379,-13889.8879,-1847.8331,69.05579976,-15433.0258,-1778.7773002400002,-17211.80310024
5,-1525.4909,-13865.7298,-1879.8922,69.72192576,-15391.2207,-1810.17027424,-17201.39097424
6,-1533.6044,-13838.1059,-1862.014,70.01790840000001,-15371.7103,-1791.9960916,-17163.7063916
7,-1520.6415,-13912.2907,-1875.6124,70.69937832,-15432.9322,-1804.91302168,-17237.84522168
8,-1555.7511,-13843.0707,-1888.3149,69.30990935999999,-15398.8218,-1819.0049906400002,-17217.82679064
9,-1519.3373,-13876.5639,-1887.7465,72.39930696,-15395.901199999998,-1815.3471930399999,-17211.248393039998
10,-1545.7222,-13921.1865,-1820.1475,68.94972575999999,-15466.9087,-1751.19777424,-17218.106474239998
11,-1510.918,-13979.5139,-1752.2089,71.81124408,-15490.4319,-1680.39765592,-17170.82955592
12,-1483.7773,-13908.7752,-1854.4236,72.68007528,-15392.5525,-1781.74352472,-17174.29602472
13,-1497.0221,-13847.6156,-1932.6608,73.77641136,-15344.6377,-1858.88438864,-17203.522088640002
14,-1481.8594,-13986.0121,-1833.4879,74.52525528,-15467.8715,-1758.96264472,-17226.83414472
15,-1526.9748,-13889.4309,-1881.4156,73.37762784,-15416.4057,-1808.03797216,-17224.44367216
16,-1511.6884,-13837.1875,-1895.8282,73.66023791999999,-15348.8759,-1822.16796208,-17171.043862079998
17,-1517.928,-13961.8501,-1838.9713,71.7324228,-15479.7781,-1767.2388772,-17247.0169772
18,-1507.4756,-14048.0934,-1755.9926,71.1592992,-15555.569,-1684.8333008,-17240.4023008
19,-1516.0409,-13980.4076,-1777.7432,72.91712016,-15496.4485,-1704.82607984,-17201.27457984
20,-1506.3697,-13990.6821,-1794.6277,71.30805336,-15497.0518,-1723.31964664,-17220.371446639998
21,-1497.2691,-13910.6112,-1841.508,73.58314104,-15407.880299999999,-1767.92485896,-17175.80515896
22,-1501.4549,-13893.2736,-1884.8716,74.0459448,-15394.728500000001,-1810.8256552,-17205.5541552
23,-1500.8171,-13859.5999,-1866.4964,73.91252736,-15360.417,-1792.58387264,-17153.000872639997
24,-1511.9587,-13866.7846,-1913.4835,74.19777264,-15378.7433,-1839.28572736,-17218.02902736
25,-1527.7763,-14040.7508,-1718.1302,69.84590831999999,-15568.5271,-1648.28429168,-17216.81139168
26,-1517.8477,-13927.0328,-1818.5263,71.06078304,-15444.880500000001,-1747.46551696,-17192.34601696
27,-1503.2008,-14026.5093,-1770.8914,68.93739864,-15529.7101,-1701.95400136,-17231.664101360002
28,-1496.4756,-14018.2788,-1760.1331,69.83693928,-15514.7544,-1690.29616072,-17205.05056072
29,-1552.6683,-13987.1745,-1748.1603,70.67401056,-15539.842799999999,-1677.48628944,-17217.329089439998
30,-1532.0094,-13902.0037,-1866.081,70.96360176,-15434.0131,-1795.1173982399998,-17229.13049824
31,-1515.865,-13933.9288,-1815.7642,69.30527184,-15449.7938,-1746.4589281600001,-17196.25272816
32,-1530.8447,-13965.8712,-1807.4079,69.9486696,-15496.7159,-1737.4592304,-17234.1751304
33,-1517.5508,-13845.4398,-1883.2042,73.4993748,-15362.990600000001,-1809.7048252,-17172.6954252
34,-1514.1295,-13892.4965,-1847.4963,71.8993476,-15406.626,-1775.5969524,-17182.2229524
35,-1483.8508,-13985.8007,-1800.6868,73.36657799999999,-15469.6515,-1727.320222,-17196.971722
36,-1508.9688,-13862.5926,-1903.6836,74.68782119999999,-15371.5614,-1828.9957788000002,-17200.557178799998
37,-1488.0412,-13918.144,-1831.815,73.94373432,-15406.1852,-1757.87126568,-17164.056465679998
38,-1505.6689,-13933.4923,-1842.439,73.62906552,-15439.1612,-1768.80993448,-17207.97113448
