#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
1.0%,5000,10.0,-40989.911,7605.006,-33384.905,298.182,30.634,0.998,0,--
2.0%,10000,20.0,-40546.193,7786.532,-32759.661,305.299,31.294,0.977,1.42e+03,0:59
3.0%,15000,30.0,-40885.707,7501.485,-33384.222,294.123,31.481,0.971,1.41e+03,0:59
4.0%,20000,40.0,-40729.282,7595.029,-33134.253,297.79,31.332,0.976,1.41e+03,0:58
5.0%,25000,50.0,-40723.949,7620.304,-33103.645,298.781,30.935,0.988,1.41e+03,0:58
6.0%,30000,60.0,-40995.765,7403.527,-33592.237,290.282,31.195,0.98,1.41e+03,0:57
7.0%,35000,70.0,-40407.251,7824.275,-32582.976,306.779,31.333,0.976,1.41e+03,0:57
8.0%,40000,80.0,-40566.262,7812.935,-32753.328,306.334,30.978,0.987,1.41e+03,0:56
9.0%,45000,90.0,-40645.041,7834.712,-32810.329,307.188,30.827,0.992,1.41e+03,0:55
10.0%,50000,100.0,-40753.124,7652.317,-33100.808,300.037,30.818,0.992,1.41e+03,0:55
11.0%,55000,110.0,-40518.424,7729.354,-32789.069,303.057,30.843,0.991,1.41e+03,0:54
12.0%,60000,120.0,-40784.797,7342.787,-33442.01,287.9,30.986,0.987,1.41e+03,0:54
13.0%,65000,130.0,-40877.935,7733.91,-33144.025,303.236,31.665,0.966,1.41e+03,0:53
14.0%,70000,140.0,-41000.186,7611.743,-33388.443,298.446,30.911,0.989,1.41e+03,0:52
15.0%,75000,150.0,-40845.395,7842.341,-33003.054,307.487,31.013,0.986,1.41e+03,0:52
16.0%,80000,160.0,-40684.026,7645.46,-33038.566,299.768,30.932,0.988,1.41e+03,0:51
17.0%,85000,170.0,-41004.377,7510.135,-33494.243,294.462,31.22,0.979,1.41e+03,0:51
18.0%,90000,180.0,-41043.883,7568.286,-33475.597,296.742,30.658,0.997,1.4e+03,0:50
19.0%,95000,190.0,-40800.037,7312.648,-33487.388,286.719,30.396,1.006,1.4e+03,0:49
20.0%,100000,200.0,-40560.127,7575.998,-32984.129,297.044,31.155,0.981,1.4e+03,0:49
21.0%,105000,210.0,-40896.81,7438.739,-33458.071,291.662,30.88,0.99,1.4e+03,0:48
22.0%,110000,220.0,-40606.261,7796.997,-32809.264,305.709,31.146,0.982,1.4e+03,0:47
23.0%,115000,230.0,-40726.238,7832.222,-32894.015,307.09,31.28,0.977,1.4e+03,0:47
24.0%,120000,240.0,-40762.05,7629.882,-33132.168,299.157,30.89,0.99,1.4e+03,0:46
25.0%,125000,250.0,-40276.074,7590.892,-32685.182,297.628,31.302,0.977,1.4e+03,0:46
26.0%,130000,260.0,-40585.327,7570.569,-33014.758,296.831,30.89,0.99,1.4e+03,0:45
27.0%,135000,270.0,-41092.825,7620.569,-33472.256,298.792,30.861,0.991,1.4e+03,0:44
28.0%,140000,280.0,-40663.238,7425.606,-33237.632,291.148,30.862,0.991,1.4e+03,0:44
29.0%,145000,290.0,-40723.21,7560.552,-33162.658,296.439,30.913,0.989,1.4e+03,0:43
30.0%,150000,300.0,-40632.567,7864.645,-32767.922,308.362,31.198,0.98,1.4e+03,0:43
31.0%,155000,310.0,-40677.408,7709.885,-32967.523,302.294,30.907,0.989,1.4e+03,0:42
32.0%,160000,320.0,-40584.471,7852.536,-32731.935,307.887,31.366,0.975,1.4e+03,0:41
33.0%,165000,330.0,-40993.735,7616.345,-33377.39,298.626,30.415,1.005,1.41e+03,0:41
34.0%,170000,340.0,-40655.575,7891.635,-32763.94,309.42,31.075,0.984,1.41e+03,0:40
35.0%,175000,350.0,-40865.565,7701.63,-33163.935,301.97,30.976,0.987,1.4e+03,0:39
36.0%,180000,360.0,-40751.356,7792.541,-32958.815,305.535,31.026,0.985,1.4e+03,0:39
37.0%,185000,370.0,-40629.973,7417.428,-33212.545,290.827,31.31,0.976,1.4e+03,0:38
38.0%,190000,380.0,-40315.047,7434.457,-32880.591,291.495,31.069,0.984,1.4e+03,0:38
