ligand_name,cluster_id,cluster_size,rep_pose_idx,mean_internal_dist,mean_dist_to_others,cluster_diameter,pose_indices
aspirin_prepared,5,3,12,1.105,3.11,1.809,"[1, 8, 12]"
aspirin_prepared,10,3,13,1.8,3.027,2.016,"[6, 9, 13]"
aspirin_prepared,6,2,0,1.775,2.736,1.775,"[0, 7]"
aspirin_prepared,9,2,10,1.7,2.878,1.7,"[10, 14]"
aspirin_prepared,3,1,2,0.0,2.922,0.0,[2]
aspirin_prepared,7,1,3,0.0,2.854,0.0,[3]
aspirin_prepared,1,1,4,0.0,2.935,0.0,[4]
aspirin_prepared,8,1,5,0.0,2.801,0.0,[5]
aspirin_prepared,4,1,11,0.0,3.127,0.0,[11]
aspirin_prepared,2,1,15,0.0,2.89,0.0,[15]
mol1_prepared,3,2,2,1.515,2.952,1.515,"[2, 5]"
mol1_prepared,4,1,0,0.0,2.87,0.0,[0]
mol1_prepared,6,1,1,0.0,2.97,0.0,[1]
mol1_prepared,5,1,3,0.0,2.743,0.0,[3]
mol1_prepared,1,1,4,0.0,2.989,0.0,[4]
mol1_prepared,2,1,6,0.0,2.9,0.0,[6]
mol1_prepared,7,1,7,0.0,3.297,0.0,[7]
mol2_prepared,6,2,1,1.769,3.176,1.769,"[1, 6]"
mol2_prepared,1,1,0,0.0,3.502,0.0,[0]
mol2_prepared,7,1,2,0.0,3.227,0.0,[2]
mol2_prepared,2,1,3,0.0,3.351,0.0,[3]
mol2_prepared,3,1,4,0.0,3.024,0.0,[4]
mol2_prepared,5,1,5,0.0,3.137,0.0,[5]
mol2_prepared,4,1,7,0.0,2.988,0.0,[7]
mol3_prepared,3,1,0,0.0,3.839,0.0,[0]
mol3_prepared,9,1,1,0.0,4.938,0.0,[1]
mol3_prepared,7,1,2,0.0,3.933,0.0,[2]
mol3_prepared,4,1,3,0.0,3.896,0.0,[3]
mol3_prepared,5,1,4,0.0,3.849,0.0,[4]
mol3_prepared,1,1,5,0.0,4.234,0.0,[5]
mol3_prepared,8,1,6,0.0,4.121,0.0,[6]
mol3_prepared,11,1,7,0.0,4.449,0.0,[7]
mol3_prepared,6,1,8,0.0,3.899,0.0,[8]
mol3_prepared,10,1,9,0.0,4.706,0.0,[9]
mol3_prepared,2,1,10,0.0,4.059,0.0,[10]
mol4_prepared,7,1,0,0.0,5.808,0.0,[0]
mol4_prepared,1,1,1,0.0,3.751,0.0,[1]
mol4_prepared,3,1,2,0.0,3.914,0.0,[2]
mol4_prepared,5,1,3,0.0,4.311,0.0,[3]
mol4_prepared,4,1,4,0.0,3.923,0.0,[4]
mol4_prepared,2,1,5,0.0,3.856,0.0,[5]
mol4_prepared,6,1,6,0.0,4.539,0.0,[6]
