ligand_name,cluster_id,cluster_size,rep_pose_idx,mean_internal_dist,mean_dist_to_others,cluster_diameter,pose_indices
aspirin_prepared,1,2,0,1.619,2.649,1.619,"[0, 6]"
aspirin_prepared,3,2,1,1.956,2.653,1.956,"[1, 2]"
aspirin_prepared,4,2,5,1.406,2.389,1.406,"[5, 7]"
aspirin_prepared,2,1,3,0.0,2.552,0.0,[3]
aspirin_prepared,5,1,4,0.0,2.561,0.0,[4]
mol1_prepared,2,3,2,1.688,2.448,1.783,"[1, 2, 6]"
mol1_prepared,1,2,0,0.659,2.398,0.659,"[0, 5]"
mol1_prepared,3,2,4,1.596,2.659,1.596,"[4, 7]"
mol1_prepared,4,1,3,0.0,2.636,0.0,[3]
mol2_prepared,1,2,0,1.67,2.603,1.67,"[0, 7]"
mol2_prepared,2,1,1,0.0,2.68,0.0,[1]
mol2_prepared,6,1,2,0.0,2.502,0.0,[2]
mol2_prepared,3,1,3,0.0,2.848,0.0,[3]
mol2_prepared,4,1,4,0.0,3.034,0.0,[4]
mol2_prepared,7,1,5,0.0,2.723,0.0,[5]
mol2_prepared,5,1,6,0.0,2.657,0.0,[6]
mol3_prepared,3,1,0,0.0,3.585,0.0,[0]
mol3_prepared,7,1,1,0.0,3.689,0.0,[1]
mol3_prepared,5,1,2,0.0,3.613,0.0,[2]
mol3_prepared,1,1,3,0.0,4.308,0.0,[3]
mol3_prepared,2,1,4,0.0,4.133,0.0,[4]
mol3_prepared,4,1,5,0.0,3.706,0.0,[5]
mol3_prepared,8,1,6,0.0,3.739,0.0,[6]
mol3_prepared,6,1,7,0.0,3.679,0.0,[7]
mol4_prepared,6,1,0,0.0,3.582,0.0,[0]
mol4_prepared,4,1,1,0.0,3.579,0.0,[1]
mol4_prepared,7,1,2,0.0,4.018,0.0,[2]
mol4_prepared,5,1,3,0.0,3.51,0.0,[3]
mol4_prepared,3,1,4,0.0,4.286,0.0,[4]
mol4_prepared,1,1,5,0.0,3.757,0.0,[5]
mol4_prepared,8,1,6,0.0,4.073,0.0,[6]
mol4_prepared,2,1,7,0.0,4.279,0.0,[7]
